# Master per-run downstream results: one row per (method, seed).
# val_bpb/train_bpb (6-dec from run logs), core (DCLM CORE = centered mean of 22 tasks),
# then the 22 per-task CENTERED accuracies. All paper downstream tables derive from this.
method	seed	val_bpb	train_bpb	core	hellaswag_zeroshot	jeopardy	bigbench_qa_wikidata	arc_easy	arc_challenge	copa	commonsense_qa	piqa	openbook_qa	lambada_openai	hellaswag	winograd	winogrande	bigbench_dyck_languages	agi_eval_lsat_ar	bigbench_cs_algorithms	bigbench_operators	bigbench_repeat_copy_logic	squad	coqa	boolq	bigbench_language_identification
convextok	42	0.713505	0.702329	0.264700	0.396402	0.114313	0.470695	0.578563	0.209329	0.280000	0.081695	0.494015	0.234667	0.433534	0.395472	0.326007	0.120758	0.155000	0.048913	0.412121	0.176190	0.000000	0.453453	0.327321	-0.067117	0.182068
convextok	43	0.712893	0.701671	0.268326	0.399323	0.108644	0.469810	0.576319	0.205916	0.360000	0.026413	0.483134	0.226667	0.433534	0.397729	0.289377	0.103394	0.154000	0.086956	0.428030	0.180952	0.031250	0.443992	0.327321	-0.000322	0.170737
convextok	44	0.712888	0.701695	0.267335	0.392950	0.109117	0.469121	0.574074	0.205916	0.340000	0.047912	0.487486	0.202667	0.429264	0.403306	0.362637	0.141279	0.168000	0.038043	0.427273	0.171429	0.000000	0.455818	0.343229	-0.070336	0.182178
convextok	45	0.713329	0.702123	0.261411	0.398925	0.119036	0.467989	0.580247	0.179750	0.340000	0.029484	0.485310	0.213333	0.443819	0.404368	0.296703	0.101815	0.133000	0.135870	0.421970	0.142857	0.000000	0.469536	0.338469	-0.137132	0.185699
convextok	46	0.713245	0.701991	0.258478	0.399588	0.105338	0.470794	0.570707	0.197952	0.340000	0.086814	0.497280	0.186667	0.444207	0.397331	0.304029	0.127072	0.147000	0.065217	0.420455	0.171429	0.000000	0.445790	0.329701	-0.193465	0.172607
convextok	47	0.712915	0.701702	0.259738	0.399456	0.115257	0.476797	0.562290	0.191126	0.360000	0.015152	0.510337	0.218667	0.440132	0.401182	0.362637	0.142857	0.154000	-0.005435	0.424242	0.138095	0.000000	0.461968	0.336089	-0.162884	0.172277
convextok	48	0.713217	0.701900	0.262716	0.396269	0.095418	0.471286	0.585297	0.188851	0.380000	0.084767	0.491839	0.200000	0.437221	0.397066	0.318681	0.141279	0.174000	0.130435	0.433333	0.171429	0.000000	0.434153	0.332958	-0.266699	0.182178
convextok	49	0.713097	0.701834	0.261018	0.398393	0.101086	0.456572	0.572952	0.197952	0.320000	0.089885	0.480958	0.226667	0.439550	0.396933	0.282051	0.106551	0.143000	0.076087	0.443182	0.161905	0.000000	0.448912	0.324439	-0.100917	0.176238
convextok	50	0.713412	0.702240	0.258831	0.396402	0.116202	0.471827	0.582492	0.176337	0.300000	0.075553	0.510337	0.205333	0.435086	0.395871	0.333333	0.123915	0.176000	0.032609	0.417424	0.157143	0.000000	0.468023	0.342854	-0.197489	0.175027
convextok	51	0.713250	0.702018	0.265512	0.397995	0.120926	0.464150	0.586981	0.193402	0.360000	0.011057	0.483134	0.208000	0.445178	0.398925	0.318681	0.087608	0.157000	0.114130	0.451515	0.157143	0.000000	0.464144	0.345609	-0.100113	0.175798
convextok	52	0.713023	0.701853	0.262740	0.399323	0.116202	0.472959	0.575196	0.194539	0.360000	0.014128	0.504897	0.197333	0.431981	0.399854	0.413919	0.128650	0.174000	-0.000000	0.452273	0.157143	0.000000	0.443330	0.328573	-0.158056	0.174037
convextok	53	0.713226	0.702050	0.256696	0.399190	0.111479	0.489149	0.572952	0.192264	0.360000	0.039722	0.495103	0.205333	0.433340	0.399456	0.318681	0.130229	0.143000	0.054348	0.429545	0.157143	0.000000	0.445885	0.326193	-0.236118	0.180418
convextok	54	0.712899	0.701682	0.268927	0.397464	0.098252	0.488362	0.578563	0.203641	0.320000	0.009009	0.490751	0.216000	0.430235	0.399190	0.369963	0.119179	0.152000	0.059783	0.434848	0.157143	0.000000	0.462914	0.334711	0.019797	0.174587
convextok	55	0.712973	0.701686	0.262681	0.397995	0.098725	0.471532	0.576880	0.194539	0.340000	0.006962	0.490751	0.234667	0.429070	0.400916	0.347985	0.134964	0.152000	0.070652	0.453030	0.147619	0.000000	0.438221	0.335212	-0.119427	0.176678
convextok	56	0.713345	0.702087	0.264358	0.398261	0.117619	0.460115	0.580808	0.193402	0.340000	0.028460	0.497280	0.232000	0.431593	0.397729	0.311355	0.138121	0.178000	0.108696	0.437121	0.152381	0.000000	0.484957	0.337718	-0.183003	0.173267
convextok	57	0.712954	0.701693	0.260120	0.392817	0.104865	0.477683	0.579686	0.203641	0.260000	0.035627	0.495103	0.245333	0.430623	0.397198	0.340659	0.108129	0.184000	0.081522	0.459091	0.147619	0.000000	0.453642	0.329074	-0.185418	0.181738
convextok	58	0.713415	0.702272	0.259409	0.395871	0.107227	0.485015	0.583053	0.195677	0.400000	0.019247	0.496192	0.216000	0.436833	0.393481	0.333333	0.084451	0.134000	0.097826	0.430303	0.138095	0.031250	0.478146	0.328323	-0.255432	0.178108
convextok	59	0.713013	0.701888	0.272872	0.399721	0.096363	0.478815	0.583053	0.184300	0.420000	0.031532	0.496192	0.221333	0.441490	0.397464	0.355311	0.155485	0.165000	0.059783	0.461364	0.157143	0.031250	0.439546	0.347614	-0.102527	0.182948
convextok	60	0.713125	0.701877	0.262670	0.393082	0.084081	0.479258	0.585859	0.212742	0.360000	-0.004300	0.520131	0.221333	0.433922	0.391489	0.304029	0.092344	0.171000	0.108696	0.461364	0.166667	0.031250	0.462725	0.345234	-0.218413	0.176238
convextok	61	0.713921	0.702730	0.262955	0.399456	0.117147	0.475223	0.580247	0.194539	0.300000	-0.010442	0.490751	0.205333	0.440326	0.393879	0.304029	0.103394	0.143000	0.054348	0.423485	0.161905	0.000000	0.464238	0.346612	0.014164	0.183388
convextok	62	0.713626	0.702358	0.270772	0.393613	0.103448	0.476797	0.574074	0.195677	0.320000	0.046888	0.503808	0.218667	0.432175	0.399854	0.318681	0.155485	0.159000	0.103261	0.439394	0.147619	0.000000	0.465184	0.354002	-0.022051	0.171397
convextok	63	0.712881	0.701641	0.265201	0.394012	0.109117	0.475813	0.591470	0.202503	0.380000	0.023342	0.496192	0.205333	0.432758	0.394676	0.340659	0.133386	0.143000	0.021739	0.406061	0.147619	0.000000	0.471523	0.353000	-0.063898	0.176128
convextok	64	0.713473	0.702316	0.261524	0.394410	0.112423	0.474829	0.586420	0.202503	0.360000	0.002867	0.490751	0.210667	0.442655	0.400385	0.311355	0.112865	0.161000	0.059783	0.409091	0.138095	0.031250	0.475307	0.335338	-0.129084	0.170627
convextok	65	0.712948	0.701721	0.274603	0.398128	0.117619	0.484720	0.569024	0.183163	0.400000	0.029484	0.504897	0.208000	0.438385	0.400119	0.333333	0.149171	0.151000	0.054348	0.446212	0.152381	0.031250	0.474078	0.319053	0.027040	0.169857
convextok	66	0.713142	0.701825	0.251032	0.396667	0.124705	0.482703	0.586981	0.185438	0.320000	0.083743	0.494015	0.213333	0.441102	0.393481	0.318681	0.139700	0.140000	0.108696	0.396212	0.133333	0.000000	0.466036	0.323938	-0.403509	0.177448
fsp_bpe_init_f1.15	42	0.712400	0.714100	0.263784	0.402775	0.116202	0.482899	0.586981	0.205916	0.280000	0.029484	0.511425	0.205333	0.424995	0.406227	0.333333	0.131807	0.134000	0.092391	0.393939	0.176190	0.000000	0.430937	0.330953	-0.052632	0.180088
fsp_bpe_init_f1.15	43	0.712900	0.714500	0.265979	0.400783	0.102976	0.468432	0.572952	0.177474	0.360000	0.041769	0.512514	0.229333	0.430623	0.406626	0.369963	0.098658	0.144000	0.141304	0.380303	0.176190	0.031250	0.461684	0.329951	-0.163689	0.178438
fsp_bpe_init_f1.15	44	0.712161	0.701549	0.262184	0.406493	0.119509	0.459918	0.575196	0.199090	0.320000	0.013104	0.498368	0.202667	0.435669	0.413795	0.318681	0.146014	0.163000	0.146739	0.372727	0.142857	0.031250	0.469442	0.324314	-0.169322	0.178548
fsp_bpe_init_f1.15	45	0.712908	0.702328	0.262550	0.403572	0.108644	0.476404	0.580808	0.178612	0.340000	0.120598	0.488575	0.232000	0.441684	0.405696	0.282051	0.131807	0.145000	0.125000	0.366667	0.157143	0.000000	0.467928	0.334085	-0.187832	0.177668
fsp_bpe_init_f1.15	46	0.712242	0.701633	0.262025	0.407688	0.111006	0.474337	0.575758	0.192264	0.320000	0.100123	0.492927	0.240000	0.427324	0.410210	0.391941	0.117601	0.176000	0.048913	0.412879	0.171429	0.000000	0.445885	0.326945	-0.258651	0.179978
fsp_bpe_init_f1.15	47	0.712048	0.701452	0.272358	0.404236	0.121398	0.477093	0.579125	0.185438	0.360000	0.025389	0.499456	0.205333	0.436833	0.413397	0.347985	0.092344	0.149000	0.152174	0.402273	0.157143	0.000000	0.486187	0.350495	-0.027684	0.174257
fsp_bpe_init_f1.15	48	0.712400	0.701815	0.267895	0.407953	0.119036	0.474288	0.581369	0.213879	0.300000	0.120598	0.509249	0.234667	0.423637	0.408219	0.311355	0.130229	0.127000	0.054348	0.387121	0.171429	0.000000	0.492242	0.348365	-0.104137	0.182838
fsp_bpe_init_f1.15	49	0.712387	0.701777	0.261181	0.411007	0.116202	0.476108	0.584736	0.207053	0.280000	0.031532	0.490751	0.226667	0.434116	0.411671	0.311355	0.123915	0.145000	0.146739	0.349242	0.166667	0.000000	0.449480	0.346862	-0.129889	0.166777
fsp_bpe_init_f1.15	50	0.712786	0.702195	0.266793	0.397729	0.104393	0.489887	0.579686	0.185438	0.380000	0.063268	0.502720	0.232000	0.436251	0.402642	0.318681	0.127072	0.198000	0.119565	0.421212	0.152381	0.031250	0.431599	0.321934	-0.206342	0.180088
